Timing trial for PriorityQueueHEAP add()
Adds	Total time (s)	Average Time (ns)
1000	0.962468887	96.2468887
2000	1.926390651	96.31953255
3000	2.977833842	99.26112806666667
4000	3.836313748	95.9078437
5000	4.730513138	94.61026276
6000	5.918991072	98.6498512
7000	6.820984491	97.44263558571429
8000	7.706448337	96.3306042125
9000	8.603672615	95.59636238888889
10000	9.485412798	94.85412798
11000	10.99995047	99.99954972727272
12000	11.885028786	99.04190655
13000	12.784890191	98.34530916153847
14000	13.723390214	98.02421581428571
15000	14.58933083	97.26220553333333
16000	15.473575615	96.70984759375
17000	16.409451896	96.52618762352941
18000	17.378278896	96.54599386666666
19000	18.230434604	95.94965581052631
20000	19.16742196	95.8371098
21000	21.261104273	101.24335368095238
22000	22.183869431	100.83577014090909
23000	23.094387781	100.41038165652174
24000	23.956479795	99.8186658125
25000	24.923498733	99.693994932
26000	25.990551852	99.96366096923077
27000	26.696382627	98.87549121111111
28000	27.646657808	98.7380636
29000	28.720044943	99.03463773448276
30000	29.489708059	98.29902686333334
31000	30.396216724	98.05231201290323

findMin() executions	Total time (s)	Average Time (ns)	Total time * executions
100000	0.219437644	4.39E-06	21943.7644
200000	0.222456733	2.22E-06	44491.3466
300000	0.218882553	1.46E-06	65664.7659
400000	0.218262762	1.09E-06	87305.1048
500000	0.218891477	8.76E-07	109445.7385
600000	0.220977085	7.37E-07	132586.251
700000	0.218088291	6.23E-07	152661.8037
800000	0.217421648	5.44E-07	173937.3184
900000	0.217998603	4.84E-07	196198.7427
1000000	0.218046348	4.36E-07	218046.348
1100000	0.218364052	3.97E-07	240200.4572
1200000	0.218388594	3.64E-07	262066.3128
1300000	0.216621137	3.33E-07	281607.4781
1400000	0.221158696	3.16E-07	309622.1744
1500000	0.218261422	2.91E-07	327392.133
1600000	0.218227957	2.73E-07	349164.7312
1700000	0.218223496	2.57E-07	370979.9432
1800000	0.218038762	2.42E-07	392469.7716
1900000	0.21801645	2.29E-07	414231.255
2000000	0.21832077	2.18E-07	436641.54
2100000	0.217647432	2.07E-07	457059.6072
2200000	0.218181997	1.98E-07	480000.3934
2300000	0.21829578	1.90E-07	502080.294
2400000	0.218286856	1.82E-07	523888.4544
2500000	0.21819806	1.75E-07	545495.15
2600000	0.218039654	1.68E-07	566903.1004
2700000	0.217742029	1.61E-07	587903.4783
2800000	0.218194491	1.56E-07	610944.5748
2900000	0.219110569	1.51E-07	635420.6501
3000000	0.218074905	1.45E-07	654224.715
3100000	0.218112388	1.41E-07	676148.4028
3200000	0.21811194	1.36E-07	697958.208
3300000	0.218139607	1.32E-07	719860.7031
3400000	0.217855367	1.28E-07	740708.2478
3500000	0.218051256	1.25E-07	763179.396
3600000	0.218007973	1.21E-07	784828.7028
3700000	0.218004404	1.18E-07	806616.2948
3800000	0.218082937	1.15E-07	828715.1606
3900000	0.218156563	1.12E-07	850810.5957
4000000	0.218205647	1.09E-07	872822.588
4100000	0.215812597	1.05E-07	884831.6477
4200000	0.217492595	1.04E-07	913468.899
4300000	0.218057503	1.01E-07	937647.2629
4400000	0.218059287	9.91E-08	959460.8628
4500000	0.218618841	9.72E-08	983784.7845
4600000	0.220984671	9.61E-08	1016529.487
4700000	0.218186904	9.28E-08	1025478.449
4800000	0.221164494	9.22E-08	1061589.571
4900000	0.219889213	8.98E-08	1077457.144
5000000	0.220937371	8.84E-08	1104686.855
5100000	0.218387255	8.56E-08	1113775.001
5200000	0.219521088	8.44E-08	1141509.658
5300000	0.221532177	8.36E-08	1174120.538
5400000	0.21804367	8.08E-08	1177435.818
5500000	0.2196786	7.99E-08	1208232.3
5600000	0.217942825	7.78E-08	1220479.82
5700000	0.218583143	7.67E-08	1245923.915
5800000	0.218104801	7.52E-08	1265007.846
5900000	0.21935331	7.44E-08	1294184.529
6000000	0.217736674	7.26E-08	1306420.044
6100000	0.218048578	7.15E-08	1330096.326
6200000	0.220970392	7.13E-08	1370016.43
6300000	0.218545215	6.94E-08	1376834.855
6400000	0.218928961	6.84E-08	1401145.35
6500000	0.218120865	6.71E-08	1417785.623
6600000	0.218049025	6.61E-08	1439123.565
6700000	0.217977185	6.51E-08	1460447.14
6800000	0.217574251	6.40E-08	1479504.907
6900000	0.219547413	6.36E-08	1514877.15
7000000	0.218845963	6.25E-08	1531921.741
7100000	0.220411285	6.21E-08	1564920.124
7200000	0.2208044	6.13E-08	1589791.68
7300000	0.219349741	6.01E-08	1601253.109
7400000	0.22074773	5.97E-08	1633533.202
7500000	0.220305086	5.87E-08	1652288.145
7600000	0.220097151	5.79E-08	1672738.348
7700000	0.220022186	5.71E-08	1694170.832
7800000	0.220256448	5.65E-08	1718000.294
7900000	0.220712034	5.59E-08	1743625.069
8000000	0.221940462	5.55E-08	1775523.696
8100000	0.220687491	5.45E-08	1787568.677
8200000	0.220948528	5.39E-08	1811777.93
8300000	0.218294443	5.26E-08	1811843.877
8400000	0.218495685	5.20E-08	1835363.754
8500000	0.218897725	5.15E-08	1860630.663
8600000	0.218298905	5.08E-08	1877370.583
8700000	0.218268116	5.02E-08	1898932.609
8800000	0.219026681	4.98E-08	1927434.793
8900000	0.219874489	4.94E-08	1956882.952
9000000	0.219271653	4.87E-08	1973444.877
9100000	0.2193899	4.82E-08	1996448.09
9200000	0.218634012	4.75E-08	2011432.91
9300000	0.219297087	4.72E-08	2039462.909
9400000	0.217758092	4.63E-08	2046926.065
9500000	0.220592002	4.64E-08	2095624.019
9600000	0.21979283	4.58E-08	2110011.168
9700000	0.218809375	4.51E-08	2122450.938
9800000	0.21878528	4.47E-08	2144095.744
9900000	0.220653134	4.46E-08	2184466.027
10000000	0.219546075	4.39E-08	2195460.75
10100000	0.218914235	4.33E-08	2211033.774
10200000	0.218769214	4.29E-08	2231445.983
10300000	0.218712547	4.25E-08	2252739.234
10400000	0.218974028	4.21E-08	2277329.891

Timing trial for PriorityQueueHEAP delMin()
Times to loop = 100
delMin() executions	Total time (s)	Average Time (ns)
5000	0.198357126	396.714252
10000	0.42120162	421.20162
15000	0.677776371	451.850914
20000	0.953878811	476.9394055
25000	1.249097531	499.6390124
30000	1.548538781	516.1795936666666
35000	1.864050897	532.5859705714286
40000	2.174003626	543.5009065
45000	2.480091242	551.131387111111
50000	2.844068067	568.8136134
55000	3.140528157	571.0051194545455
60000	3.445123632	574.187272
65000	3.828953439	589.0697598461538
70000	4.173319132	596.1884474285714
75000	4.513677371	601.8236494666667
80000	4.865852267	608.231533375
85000	5.250253227	617.6768502352941
90000	5.606407018	622.9341131111111
95000	6.003068618	631.9019597894737
100000	6.357431304	635.7431304
105000	6.738020699	641.716257047619
110000	7.100258626	645.4780569090908
115000	7.354413108	639.5141833043479
120000	7.725770768	643.8142306666667
125000	8.284160629	662.73285032
130000	8.688114716	668.3165166153846
135000	9.056866932	670.8790319999999
140000	9.484089772	677.4349837142857
145000	9.923878462	684.4054111724138
150000	10.312953075	687.5302049999999
155000	10.74749339	693.3866703225807
160000	10.92870338	683.0439612499999
165000	11.484260671	696.0157982424242
170000	11.892623358	699.5660798823529
175000	12.307621703	703.2926687428572
180000	12.724409368	706.9116315555556
185000	13.153276064	710.9878953513513
190000	13.575724406	714.5118108421053
195000	14.049277266	720.4757572307692
200000	14.290860097	714.5430048499999

Timing trial for PriorityQueueBST add()
Adds	Total time (s)	Average Time (ns)
