what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066918837
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066919015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067010017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067063594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067166441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067203066
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366067269818
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366067270329
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366067304235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067304238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067304255
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067304706
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366067309260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067309280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067348028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067364742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067370026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067378694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366067457564
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366067460190
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067463268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067464622
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366067492102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1366067539045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366067973960
