repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl

marcoszh/CORBATest,Java,1,1,0,0.150538,0,0,0,319,0,0,0,0,0,0
daviddever/MinerMonitor,Python,0.5,1,0,0,0,0,1,95,0,0,0,0,0,0
andresv2/practice-app,Ruby,0.189189,1,0,0.377358,0,0,0,572,0.214286,0,0,0,1,0
djmpink/car-project,Java,0.4,1,0,0.283662,0,0,0,399,0,0,0,0,0,0
carols10cents/personality-quiz,Ruby,0.066667,1,0,0.436597,3.166667,0,1,442,0.039735,2,1,0,1,1
EquipePrintemps/github,C#,0,1,0,0.161905,0,0,0,88,0,0,0,0,0,0
cogwirrel/sequence-align,Ruby,0,1,0,0.219839,3,0,0,308,0,0,0,0,1,0
tre4got/Project,C++,0.95082,4,0,0.072341,202,0,1,21230,0.420048,0,1,1,1,1
cdlampley/ruby-challenges,Ruby,0.133333,1,0,0.07622,0,0,0,303,0,0,0,0,0,0
thomas41546/JavaCircuitSimulator,Java,0.967391,1,0,0.052538,0,0,0,11163,0,3,0,0,0,0
pilotpol/classicrpg2,Java,0.2,1,0,0.134783,0.2,0,0,597,0,0,0,0,1,0
instacart/heroku-buildpack-ruby,Ruby,0.942308,1,1,0.101549,0,0,1,3707,0.205119,0,0,0,1,1
ProMichael/lolstats.gg,PHP,0.5,1,0,0.413646,0,0,1,277,0,0,0,0,1,0
cciivv/codeeval,Python,0.5,1,0,0.187879,0,0,0,134,0,0,0,0,0,0
lkmnds/src-get,Python,0,1,0,0.024194,0,0,0,246,0,0,0,0,0,0
misteryyy/cpp-edan,C++,0.666667,3,0,0.267395,0,0,0,2103,0.098361,4,0,0,1,0
Peterman5566/XOR-simple-auth,Ruby,0.8,1,0,0.0954,0,0,0,579,0.590062,0,0,0,1,0
sjanjua/Pong,C++,1,1,0,0,0,0,0,258,0,0,0,0,0,0
loca1h0st-Chen/Simple-Download,Python,0,1,0,0.175676,0,0,0,64,0,0,0,0,0,0
Distrotech/ipv6calc,C,0.724638,1,0,0.077662,0,0,1,45485,0,0,0,0,1,0
BryanSummers14/bsum-codeigniter-proj,PHP,0.75,1,0,0.12766,0,0,1,123,0,0,0,0,1,0
samlbest/SamBest,C#,0.5,1,0,0.160239,0,0,0,33955,0,0,0,0,0,0
Ace0fspad3s/Testing-ground,C++,0.25,1,0,0.317073,0,0,0,28,0,0,0,0,0,0
kodram/b2b_center_api,Ruby,0.2,1,0,0.607143,0,0,1,28,0.272727,0,0,0,1,0
GiDev/Wearun_ToDo,Java,0.5,1,0,0.193146,0,0,0,259,0,0,0,0,0,0
bcan001/ember-rails-template,Ruby,0.114286,1,0,0.510955,0,0,0,21686,0.066327,0,0,0,1,0
bravely/maaku,Ruby,0.313725,0,0,0.301306,0,0,1,785,0.348794,2,0,0,1,1
sjanjua/Particle-System,C++,1,1,0,0,0,0,0,87,0,0,0,0,0,0
blacktf/git_immersion,Ruby,0.666667,1,0,0.105263,0,0,0,17,0,0,0,0,0,0
phodal/iot-rest,PHP,0.971076,1,0,0.336138,0,0,1,297661,0.205128,3,0,0,1,0
Xynnect/PenrosePython,Python,0,1,0,0.0217,0,0,0,541,0,0,0,0,0,0
wangjia55/ZoomImageView,Java,0.6,1,0,0.11879,0,0,0,856,0,1,0,0,0,0
michaelkleinhenz/LibGdxAndroidWear,Java,0.625,1,0,0.073705,0,0,0,598,0,0,0,0,0,0
komoju/spree_komoju,Ruby,0.285714,1,0,0.292994,0,0,1,138,0.40367,0,0,0,1,0
MarkPfennig/gamecredits,C++,0.964187,1,0,0.032827,0,0,1,330659,0.110607,1,0,0,1,0
cavedweller/petrarchmobile,Java,1,1,0,0.090909,0,0,1,300,0,0,0,0,1,1
AdminD17/ExtraClass,Java,0.857143,1,0,0.473066,0,0,0,538,0,0,0,0,0,0
rahulbot/glass-and-lead,PHP,0.285714,1,0,0.167355,0,0,0,806,0,0,0,0,0,0
knutab/BSM-C-sharp,C#,0.8,1,0,0.180121,0,0,0,1764,0,0,0,0,0,0
